id,fecha_hora,numero,jugadores_presentes,velocity,direction,strategy,fichas,ganancia,saldo,opcion_apuesta,categoria,aus_rojo,aus_negro,aus_par,aus_impar,aus_1-18,aus_19-36
185.0,2025-05-10 18:56:45,11.0,11,50.96425388097244,antihorario,martingala,2.0,-1000.0,7500.0,rojo,negro,2,1,161,161,161,161
186.0,2025-05-10 18:57:33,24.0,10,48.51592570552662,horario,martingala,4.0,-2000.0,3500.0,rojo,negro,3,1,162,162,162,162
187.0,2025-05-10 18:58:15,20.0,13,50.43758851702364,antihorario,martingala,8.0,-4000.0,-4500.0,rojo,negro,4,1,163,163,163,163
188.0,2025-05-10 18:59:02,2.0,10,53.155907023289735,horario,martingala,16.0,-8000.0,-20500.0,rojo,negro,5,1,164,164,164,164
189.0,2025-05-10 18:59:42,22.0,13,58.69005910556041,antihorario,martingala,32.0,-16000.0,-52500.0,rojo,negro,6,1,165,165,165,165
190.0,2025-05-10 19:00:25,34.0,10,52.14511691134579,horario,martingala,64.0,64000.0,-20500.0,rojo,rojo,7,1,166,166,166,166
191.0,2025-05-10 19:01:07,32.0,10,37.06463968654838,antihorario,martingala,1.0,1000.0,-20000.0,rojo,rojo,1,2,167,167,167,167
192.0,2025-05-10 19:01:51,30.0,10,47.74836298932845,horario,martingala,1.0,1000.0,-19500.0,rojo,rojo,1,3,168,168,168,168
193.0,2025-05-10 19:02:37,13.0,10,55.27636581446162,antihorario,martingala,1.0,-500.0,-20500.0,rojo,negro,1,4,169,169,169,169
194.0,2025-05-10 19:03:24,27.0,10,54.213845099365074,horario,martingala,2.0,2000.0,-19500.0,rojo,rojo,2,1,170,170,170,170
195.0,2025-05-10 19:04:06,1.0,10,53.16595983506791,antihorario,martingala,1.0,1000.0,-19000.0,rojo,rojo,1,2,171,171,171,171
196.0,2025-05-10 19:04:51,29.0,10,44.18095882512547,horario,martingala,1.0,-500.0,-20000.0,rojo,negro,1,3,172,172,172,172
197.0,2025-05-10 19:05:31,17.0,10,48.72713527558922,antihorario,martingala,2.0,-1000.0,-22000.0,rojo,negro,2,1,173,173,173,173
198.0,2025-05-10 19:06:12,12.0,10,40.36055619810014,horario,martingala,4.0,4000.0,-20000.0,rojo,rojo,3,1,174,174,174,174
199.0,2025-05-10 19:06:59,2.0,10,47.70865284791862,antihorario,martingala,1.0,-500.0,-21000.0,rojo,negro,1,2,175,175,175,175
200.0,2025-05-10 19:07:40,24.0,10,47.540874960524185,horario,martingala,2.0,-1000.0,-23000.0,rojo,negro,2,1,176,176,176,176
201.0,2025-05-10 20:10:33,26.0,10,64.02631865035423,horario,dalembert,2.0,-1000.0,7500.0,rojo,negro,3,1,177,177,177,177
202.0,2025-05-10 20:11:19,10.0,10,58.444403502448324,antihorario,dalembert,3.0,-1500.0,4500.0,rojo,negro,4,1,178,178,178,178
203.0,2025-05-10 20:12:05,29.0,13,46.73742975161571,horario,fibonacci,2.0,-1000.0,2500.0,rojo,negro,5,1,179,179,179,179
204.0,2025-05-10 20:12:41,5.0,10,54.38486540495367,antihorario,fibonacci,3.0,1500.0,2500.0,rojo,rojo,6,1,180,180,180,180
205.0,2025-05-10 20:13:23,20.0,11,58.66915047782756,horario,fibonacci,1.0,-500.0,1500.0,rojo,negro,1,2,181,181,181,181
206.0,2025-05-10 20:14:02,21.0,10,53.50569331860095,antihorario,fibonacci,1.0,500.0,1500.0,rojo,rojo,2,1,182,182,182,182
207.0,2025-05-10 20:14:44,2.0,10,47.13984679510789,horario,fibonacci,1.0,-500.0,500.0,rojo,negro,1,2,183,183,183,183
208.0,2025-05-10 20:15:31,21.0,10,54.485384708578664,antihorario,fibonacci,1.0,500.0,500.0,rojo,rojo,2,1,184,184,184,184
209.0,2025-05-10 20:16:11,7.0,10,48.73764854723032,horario,fibonacci,1.0,500.0,500.0,rojo,rojo,1,2,185,185,185,185
